Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
Software Engineer Machine Learning Growth ,"
            Grammarly
          ","
            Virginia, United States
          ","
         Actively Hiring
      ",2023-03-24,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          Technology, Information and Internet
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant ,"
            Carbon Rewind Ltd
          ","
            Watford, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-10,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Staffing and Recruiting
          ",administrative,[]
Full Stack Software Developer,ReUp Education,"Austin, TX",Be an early applicant,2023-04-24,Mid-Senior level,engineering and information technology,Full-time,Internet Publishing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Business Analyst II LOINC and Health Data Standards,"Regenstrief Institute, Inc.","Indianapolis, IN",Be an early applicant,2023-02-26,Mid-Senior level,research analyst and information technology,Full-time,Research Services,research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
Full Stack Software Engineer,PSiDEO,"Geneva, Switzerland",Be an early applicant,2023-04-14,Associate,engineering design and information technology,Full-time,IT Services and IT Consulting and Software Development,engineering design information technology,"['mobile ui ux design', 'responsive design', 'cloud network design pattern', 'user experience ux design', 'experiment design']"
Product Team Manager,Radically Digital,"London, England, United Kingdom",Be an early applicant,2023-04-11,Mid-Senior level,product management and marketing,Full-time,"Technology, Information and Internet",product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Junior Brand Manager,SilkFred.com,"London, England, United Kingdom",Be an early applicant,2023-02-26,Mid-Senior level,marketing,Full-time,"Technology, Information and Internet",marketing,"['email marketing platform', 'mobile app marketing', 'webinar event marketing', 'marketing automation workflow', 'account base marketing abm']"
Software Developer Professional Internship Program ,"
            Eightfold Institute of Australia
          ","
            Melbourne, Victoria, Australia
          ",Be an early applicant,2023-03-17,"
            Not Applicable
          ",information technology ,"
          Full-time
        ","
          Technology, Information and Internet
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Associate Attorney ,"
            XPRIZE
          ","
            Los Angeles, CA
          ",Be an early applicant,2023-02-13,"
            Entry level
          ",legal ,"
          Full-time
        ","
          Non-profit Organizations
          ",legal,"['security incident response team sirt incident recovery legal compliance', 'security incident response team sirt legal compliance', 'security incident response team sirt incident recovery recovery legal compliance', 'security incident response team sirt incident recovery recovery legal regulatory compliance', 'security incident legal regulatory compliance']"
Business Manager Sales,Arise Overseas,"Chennai, Tamil Nadu, India",Be an early applicant,2023-04-04,Mid-Senior level,sales and business development,Full-time,Travel Arrangements,sale business development,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Researcher,DiverseJobsMatter,"Cambridge, England, United Kingdom",Actively Hiring,2023-04-13,Entry level,sales and research,Full-time,IT Services and IT Consulting and Financial Services,sale research,"['clinical research coordinator', 'big datum clinical research', 'big datum climate research', 'user research', 'research assistant']"
Full Stack Developer Month Contract per day,Involved Solutions,"London, England, United Kingdom",Be an early applicant,2023-04-24,Mid-Senior level,engineering,Full-time,"Technology, Information and Internet",engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
Senior Market Researcher,Solar Media Limited,"London, England, United Kingdom",Actively Hiring,2023-04-13,Mid-Senior level,information technology,Full-time,"Technology, Information and Internet",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Graduate Research Analyst,The Civic Group,"Altrincham, England, United Kingdom",Be an early applicant,2023-04-26,Entry level,sales and research,Full-time,IT Services and IT Consulting and Financial Services,sale research,"['clinical research coordinator', 'big datum clinical research', 'big datum climate research', 'user research', 'research assistant']"
Executive Assistant NYC,The Calendar Group,"New York, NY",Actively Hiring,2023-04-26,Mid-Senior level,administrative,Full-time,"IT Services and IT Consulting, Venture Capital and Private Equity Principals, and Financial Services",administrative,[]
Smart Contract Engineer Return To India,Global Talent Exchange,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-20,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Project Engineer ,"
            BESIX Watpac
          ","
            Sydney, New South Wales, Australia
          ","
         Actively Hiring
      ",2023-03-14,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Construction
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Content Writer,Sharegain,"London, England, United Kingdom",Be an early applicant,2023-04-12,Associate,marketing,Full-time,"Technology, Information and Internet",marketing,"['email marketing platform', 'mobile app marketing', 'webinar event marketing', 'marketing automation workflow', 'account base marketing abm']"
Project Manager ,"
            Panalgo
          ","
            Boston, MA
          ","
         Actively Hiring
      ",2023-02-06,"
            Entry level
          ",project management and information technology ,"
          Full-time
        ","
          Software Development
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Blockchain Developer Remote Euro Payments ,Turn Block Talent,"Berlin, Berlin, Germany",Be an early applicant,2023-03-10,Entry level,information technology,Part-time,Software Development,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Development Product Owner ,"
            Diverse Lynx
          ","
            Dallas, TX
          ","
         Be an early applicant
      ",2023-03-01,"
            Director
          ",product management and marketing ,"
          Full-time
        ","
          Software Development
          ",product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Human Resources Director,Hire Integrated,Salt Lake City Metropolitan Area,Actively Hiring,2023-04-12,Director,human resources,Full-time,Human Resources Services,human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Cloud Architect ,"
            Qrata
          ","
            Bengaluru North, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-14,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Computer Networking Products
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Sr Executive Assistant Manager Research and Development,Acme Services,"Mumbai, Maharashtra, India",Actively Hiring,2023-01-16,Mid-Senior level,research analyst and information technology,Full-time,Retail,research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
Solution Architect ,"
            Wipro
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-20,"
            Mid-Senior level
          ",information technology and engineering ,"
          Full-time
        ","
          IT Services and IT Consulting and Software Development
          ",information technology engineering,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Content Writer ,"
            Valorx
          ","
            Ahmedabad, Gujarat, India
          ","
         Actively Hiring
      ",2023-03-09,"
            Mid-Senior level
          ",marketing public relations and writing editing ,"
          Full-time
        ","
          Internet Publishing
          ",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
HR Generalist Remote,Staff Financial Group,"Chicago, IL",Be an early applicant,2023-04-09,Mid-Senior level,human resources,Full-time,Retail,human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Deputy Vice President Business Marketing ,"
            Kotak Life
          ","
            Mumbai Metropolitan Region
          ","
         Actively Hiring
      ",2023-04-09,"
            Mid-Senior level
          ",general business and administrative ,"
          Full-time
        ","
          Real Estate
          ",general business administrative,"['business intelligence bi', 'business intelligence', 'security incident response team sirt incident business impact analysis', 'business networking group', 'business card exchange']"
Civil Engineer ,"
            Building Talent Recruitment
          ","
            Belimbla Park, New South Wales, Australia
          ","
         Be an early applicant
      ",2023-03-14,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Staffing and Recruiting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Director,Response Consulting,"Rugby, England, United Kingdom",Be an early applicant,2023-04-18,Executive,business development and sales,Full-time,Advertising Services,business development sale,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Cloud Architect ,"
            Tech Mahindra
          ","
            Greater Bengaluru Area
          ","
         Actively Hiring
      ",2023-02-24,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
AI ML Engineer ,"
            ClifyX
          ","
            Tampa, FL
          ","
         Be an early applicant
      ",2022-10-18,"
            Entry level
          ",engineering and information technology ,"
          Contract
        ","
          Staffing and Recruiting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Compensation Benefits Analyst,"LCG, Inc.","Rockville, MD","Actively Hiring
           +7�benefits",2023-04-10,Mid-Senior level,human resources,Full-time,Retail,human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Business Analyst,"W. W. Norton & Company, Inc.","Indiana, United States",Actively Hiring,2023-03-22,Mid-Senior level,research analyst and information technology,Full-time,Book and Periodical Publishing,research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
Exhibition Project Manager ,"
            Philadelphia Museum of Art
          ","
            Philadelphia, PA
          ",Actively Hiring,2023-02-22,"
            Entry level
          ",strategy planning and information technology ,"
          Full-time
        ","
          Software Development
          ",strategy planning information technology,"['follow strategy', 'datum replication strategy', 'datum analysis logistic planning', 'network segmentation strategy', 'disaster recovery planning drp']"
Executive Assistant ,"
            Blenheim Chalcot India
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-27,"
            Associate
          ",administrative ,"
          Full-time
        ","
          Venture Capital and Private Equity Principals
          ",administrative,[]
Senior Full Stack Developer,Datatonic,"London, England, United Kingdom",Be an early applicant,2023-04-03,Internship,engineering and information technology,Internship,Biotechnology Research,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Data Scientist,Recruiting from Scratch,"Berkeley, CA",Be an early applicant,2023-01-17,Mid-Senior level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
 ,"
            凤集生态农业
          ","
            Chengdu, Sichuan, China
          ","
         Be an early applicant
      ",2023-02-19,"
            Mid-Senior level
          ",information technology ,"
        
          Employment type
        
        
          Full-time
        
      ","
          Business Consulting and Services
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Software Engineer Full Stack,addexpert GmbH,"Zurich, Zurich, Switzerland",Be an early applicant,2022-09-28,Entry level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Business Manager in MNC Life Insurance ,"
            Aspire Erp Systems
          ","
            Udipi, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-13,"
            Mid-Senior level
          ",sales and business development ,"
          Full-time
        ","
          Staffing and Recruiting
          ",sale business development,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Process Development Engineer,STL - Sterlite Technologies Limited,"Bijolia, Rajasthan, India",Actively Hiring,2023-03-27,Entry level,engineering and information technology,Full-time,Telecommunications,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Quality Assurance Engineer Manual ,"
            DeepSource
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-07,"
            Associate
          ",engineering and information technology ,"
          Full-time
        ","
          Personal Care Product Manufacturing, Manufacturing, and Retail
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Software Engineer Backend India ,"
            Evertz
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-11,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          Internet Publishing
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Technical Product Manager Platform ,Pockit,"London, England, United Kingdom","
         Be an early applicant
      ",2023-03-22,Mid-Senior level,product management,Full-time,"Technology, Information and Internet",product management,"['product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'database management system sql', 'federate identity management']"
Product Manager Creator,Move.ai,"London, England, United Kingdom","
         Be an early applicant
      ",2023-03-17,Mid-Senior level,product management,Full-time,"Technology, Information and Internet",product management,"['product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'database management system sql', 'federate identity management']"
Python Full Stack Engineer,Capgemini Engineering,"Perth, Western Australia, Australia",Actively Hiring,2023-04-24,Mid-Senior level,engineering and information technology,Full-time,"Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Office Administrator,Pioneer Metal Finishing,"South Bend, IN",Be an early applicant,2023-03-24,Entry level,administrative,Full-time,Hospitals and Health Care,administrative,[]
Board Certified Behavior Analyst Evansville,"Adapt for Life, Center for ABA and Autism","Evansville, IN",Be an early applicant,2023-02-28,Internship,business development and sales,Full-time,Internet Publishing,business development sale,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Senior Analyst,Course5i,"Gurugram, Haryana, India",Actively Hiring,2023-04-11,Associate,consulting,Full-time,"Market Research, Business Consulting and Services, and Pharmaceutical Manufacturing",consult,[]
Data Scientist Senior Data Scientist ,"
            Boston Consulting Group (BCG)
          ","
            Delhi, India
          ","
         Actively Hiring
      ",2023-03-06,"
            Mid-Senior level
          ",information technology and analyst ,"
          Full-time
        ","
          Mental Health Care and Wellness and Fitness Services
          ",information technology analyst,"['equity analyst', 'sustainability analyst', 'data analyst', 'financial analyst', 'compensation analyst']"
Software Engineer Python and K s,Canonical,"Perth, Western Australia, Australia",Be an early applicant,2023-04-02,Entry level,engineering and information technology,Full-time,"Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Sr Engineer Engineer Mechanical Maintenance Engineer Chemical Industry,PEOPLE ALLIANCE WORKFORCE PRIVATE LIMITED,"Bharuch, Gujarat, India",Be an early applicant,2023-02-27,Executive,engineering and information technology,Full-time,Chemical Manufacturing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Head of People Strategy Operations,Geomagical Labs,"Palo Alto, CA",Be an early applicant,2023-04-06,Mid-Senior level,human resources,Full-time,"Technology, Information and Internet",human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Research Fellow Senior Research Assistant,University of Southampton,"Southampton, England, United Kingdom",Be an early applicant,2023-04-14,Mid-Senior level,research analyst and information technology,Full-time,Political Organizations,research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
React Js Developer ,"
            Atos
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-22,"
            Mid-Senior level
          ",information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Python Developer ,"
            Hexaware Technologies
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-10,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant ,"
            Superb People Ltd
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-10,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Hospitals and Health Care
          ",administrative,[]
Applied Machine Learning Postdoctoral Researcher,Lawrence Livermore National Laboratory,"Livermore, CA",Be an early applicant,2023-03-16,Entry level,engineering,Full-time,Research,engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
Product Marketing Assistant General Manager User Growth ,"
            Paytm
          ","
            Noida, Uttar Pradesh, India
          ","
         Actively Hiring
      ",2023-03-15,"
            Mid-Senior level
          ",marketing ,"
          Full-time
        ","
          Transportation, Logistics, Supply Chain and Storage
          ",market,"['market millennial', 'market client', 'market segmentation', 'market segmentation target', 'market researcher']"
Product Manager Retail Banking ,"
            ARGO
          ","
            Richardson, TX
          ","
         Actively Hiring
      ",2023-03-03,"
            Mid-Senior level
          ",product management management and strategy planning ,"
          Full-time
        ","
          Software Development and Financial Services
          ",product management management strategy planning,"['event planning management', 'big datum storage management', 'security patch management', 'firewall management', 'identity access management']"
Front Desk Receptionist ,"
            Tata Consultancy Services
          ","
            Kochi, Kerala, India
          ","
         Actively Hiring
      ",2023-02-10,"
            Executive
          ",other and administrative ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",administrative,[]
Sr Machine Learning Engineer,General Mills,"Mumbai, Maharashtra, India",Be an early applicant,2023-03-27,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
PT Virtual Administrative Assistant Remote WFH,Get.It Recruit - Administrative,"Granger, IN",Be an early applicant,2023-04-06,Entry level,administrative,Full-time,Hospitals and Health Care,administrative,[]
Senior Product Manager,Found By Few,"London, England, United Kingdom",Actively Hiring,2023-04-18,Mid-Senior level,product management,Full-time,"Information Services and Technology, Information and Internet",product management,"['product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'database management system sql', 'federate identity management']"
Software Developer React JS,Divy,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-25,Not Applicable,information technology,Full-time,IT Services and IT Consulting,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Senior Graphic Designer,Loughran & Co.,"Chicago, IL",Be an early applicant,2023-03-28,Entry level,design art creative and information technology,Full-time,Libraries,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Full Stack Java Developer,Florican Enterprises Pvt Ltd,"Bengaluru, Karnataka, India",Be an early applicant,2023-04-17,Entry level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Junior Data Scientist,PhysicsX,"London, England, United Kingdom","Medical insurance
           +3�benefits",2023-03-08,Not Applicable,engineering and information technology,Full-time,"Transportation, Logistics, Supply Chain and Storage",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Fresher SQL SSIS ,"
            HARMAN International
          ","
            Mulshi, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-09,"
            Associate
          ",education and training ,"
          Full-time
        ","
          Computers and Electronics Manufacturing
          ",education training,"['datum science education training', 'datum privacy training awareness', 'security awareness training', 'security incident response team sirt incident recovery training program', 'employee training tracking']"
Senior Software Engineer Data Safety ,"
            Cash App
          ","
            Melbourne, Victoria, Australia
          ","
         Be an early applicant
      ",2023-03-20,"
            Associate
          ",engineering ,"
          Full-time
        ","
          Technology, Information and Internet
          ",engineer,"['environmental engineer', 'technical support engineer', 'architectural engineer', 'biomedical engineer', 'petroleum engineer']"
Affiliate Digital Marketing Manager ,"
            Neiman Marcus Group
          ","
            United States
          ","
         Actively Hiring
           +6 benefits
      ",2023-02-27,"
            Mid-Senior level
          ",marketing and sales ,"
          Full-time
        ","
          Computers and Electronics Manufacturing
          ",marketing sale,"['agile marketing', 'marketing automation workflow', 'social medium influencer marketing', 'emotional intelligence marketing', 'marketing analytic datum visualization']"
Software Engineer ,"
            Fivecast
          ","
            Adelaide, South Australia, Australia
          ","
         Be an early applicant
      ",2023-03-16,"
            Not Applicable
          ",engineering ,"
          Full-time
        ","
          Technology, Information and Internet
          ",engineer,"['environmental engineer', 'technical support engineer', 'architectural engineer', 'biomedical engineer', 'petroleum engineer']"
Software Engineer Full stack ,Ganymede,"San Francisco, CA","
         Be an early applicant
      ",2023-04-03,Associate,engineering,Full-time,"Technology, Information and Internet",engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
Software Tester ,"
            Kool Kanya
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-23,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Vice President Marketing ,"
            AJAY METAL PRODUCTS
          ","
            Jamnagar, Gujarat, India
          ","
         Actively Hiring
      ",2022-07-22,"
            Director
          ",consulting ,"
          Full-time
        ","
          Outsourcing/Offshoring
          ",consult,[]
Graphic Designer,Doltone House,"Pyrmont, New South Wales, Australia",Actively Hiring,2023-04-28,Mid-Senior level,design art creative and information technology,Full-time,Events Services,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Project Manager ,"
            EHS Recruiting Company
          ","
            Ventura, CA
          ","
         Be an early applicant
      ",2023-02-16,"
            Entry level
          ",project management and information technology ,"
          Full-time
        ","
          Staffing and Recruiting
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Graphic Designer,Griffith University,"Nathan, Queensland, Australia","
         Be an early applicant
      ",2023-04-27,Mid-Senior level,design art creative and information technology,Full-time,Events Services,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Infrastructure Project Manager ,"
            DHL Supply Chain
          ","
            Columbus, Ohio Metropolitan Area
          ","
         Actively Hiring
      ",2023-02-22,"
            Mid-Senior level
          ",project management and information technology ,"
          Full-time
        ","
          Transportation, Logistics, Supply Chain and Storage
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Vice President of Business Performance Strategy Refresh,Confidential Jobs,"London, England, United Kingdom",Actively Hiring,2023-02-24,Executive,strategy planning and finance,Full-time,Oil and Gas,strategy planning finance,"['big datum finance', 'sentiment analysis finance', 'decentralize finance defi', 'insider threat detection strategy', 'ai climate change mitigation strategy']"
IT ,"
            上海奥汉电子有限公司
          ","
            Shanghai, Shanghai, China
          ","
         Be an early applicant
      ",2023-02-10,"
            Mid-Senior level
          ",project management and information technology ,"
        
          Employment type
        
        
          Full-time
        
      ","
          Manufacturing
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Research Analyst,Infiniti Research Ltd.,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-11,Mid-Senior level,research analyst and writing editing,Full-time,Market Research and Business Consulting and Services,research analyst write editing,"['equity research analyst', 'market research analyst', 'big datum artificial intelligence research', 'research assistant', 'user research']"
Digital Product Manager ,"
            Omni Hotels & Resorts
          ","
            Dallas, TX
          ","
         Actively Hiring
      ",2023-03-09,"
            Entry level
          ",product management and marketing ,"
          Full-time
        ","
          Hospitality
          ",product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Trademark Attorney Remote Nationwide ,"
            Loza & Loza LLP
          ","
            Chicago, IL
          ","
         Be an early applicant
      ",2023-03-25,"
            Mid-Senior level
          ",legal ,"
          Full-time
        ","
          Law Practice
          ",legal,"['security incident response team sirt incident recovery legal compliance', 'security incident response team sirt legal compliance', 'security incident response team sirt incident recovery recovery legal compliance', 'security incident response team sirt incident recovery recovery legal regulatory compliance', 'security incident legal regulatory compliance']"
Machine Learning Engineer Intern ,Sylvera,"London, England, United Kingdom","
         Be an early applicant
      ",2023-04-06,Entry level,engineering and information technology,Contract,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Full Stack Developer,pager,"Brooklyn, NY",Be an early applicant,2023-04-03,Entry level,engineering and information technology,Full-time,"Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Graphic Designer,Collier.Simon,"Los Angeles, CA",Be an early applicant,2023-03-28,Associate,consulting art creative and design,Contract,Advertising Services,consult art creative design,"['creative director', 'art director', 'art curator', 'art therapist', 'data schema design']"
Senior Interior Designer,Design & Build Recruitment,"North Sydney, New South Wales, Australia",Be an early applicant,2023-04-28,Mid-Senior level,design art creative and information technology,Full-time,"Technology, Information and Internet",design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Contract Analyst,Cynet Systems,"Indianapolis, IN",Be an early applicant,2022-11-21,Mid-Senior level,research analyst and information technology,Contract,IT Services and IT Consulting,research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
Software Development Engineer FullStack,Codejudge Inc.,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-23,Associate,engineering and information technology,Full-time,Insurance,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Product Manager,Salt,"London, England, United Kingdom",Actively Hiring,2023-04-19,Mid-Senior level,product management and marketing,Full-time,Design Services,product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Graphic Designer UI Designer,Weboptimizers,"South Melbourne, Victoria, Australia",Actively Hiring,2023-04-21,Entry level,design art creative and information technology,Full-time,Construction,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Vice President Legal BFS ,"
            Adler Talent Solutions Pvt Ltd
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-04-21,"
            Executive
          ",business development and sales ,"
          Full-time
        ","
          Staffing and Recruiting
          ",business development sale,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Product Manager,"Together - loans, mortgages & finance","Cheadle Royal Business Park, England, United Kingdom","
         Actively Hiring
      ",2023-04-13,Mid-Senior level,information technology,Full-time,Financial Services,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
