Job Title,old description,cleaned_description,Job Description
 Opening For Software Testing Fresher @ Noida,"sdlc,stlc",sdlc stlc,"['secure sdlc', 'secure sdlc software development life cycle', 'secure software development lifecycle sdlc']"
 Trainee - HR - Male / Female - - 2 Positions,"ms data management,mis,reports,hr policies,recruitment,talent acquisition,talent management,human resources,succession planning,stakeholders,hr head",ms datum management mis report hr policy recruitment talent acquisition talent management human resource succession planning stakeholder hr head,"['talent management', 'human resource management', 'stakeholder report', 'stakeholder management', 'human resource manager']"
 Hiring for Assistant Manager(international Sales)- Noida,"business development,corporate sales,inside sales,b2b sales,collections,outbound sales,key accounts manager,international bpo,presales,australian,b2c sales,direct sales,technical sales,tech sales,lead generation",business development corporate sale inside sale sale collection outbound sale key account manager international bpo presale australian sale direct sale technical sale tech sale lead generation,"['sale manager', 'sale analysis', 'sale funnel optimization', 'sale forecasting', 'sale funnel tracking']"
 Hiring For Java Developer For Mumbai Location,"j2ee,core java,database",core java database,"['database sharding', 'database management', 'java', 'database administration', 'database audit']"
 Fresher for Application Support (only Males) - Mumbai (mulund),"project management,scope,project planning,resource management,cost management,risk management,quality management,vendor management,time management,team leading,team handling,team management",project management scope project planning resource management cost management risk management quality management vendor management time management team leading team handling team management,"['influencer management', 'project management', 'project management', 'risk management', 'time management']"
 Come and Join Us We are the Leading International Bpo,"medical,technical support,outbound,troubleshooting,email,antivirus,comp,us shift,technical support associate,technical",medical technical support outbound troubleshooting email antivirus comp shift technical support associate technical,"['technical support engineer', 'support', 'technical support specialist', 'technical writing', 'technical documentation']"
 Freshers Bulk Hiring For Bpo - Voice - NON Voice,"call center,domestic bpo,international bpo,inbound,calling,cce,data entry,data entry operator,deo,computer operator,back office,non voice,fresher,bpo fresher,voice,bpo,voice process,technical support,customer support",center domestic bpo international bpo inbound call cce datum entry datum entry operator deo computer operator office non voice fresher bpo fresher voice bpo voice process technical support customer support,"['datum entry validation', 'datum entry edit', 'datum storytelle', 'datum preprocesse', 'datum wrangle']"
 Staff Nurses,"medical,staff nurse",medical staff nurse,"['nurse midwife', 'nurse practitioner', 'nurse educator', 'pediatric nurse', 'register nurse']"
 Sr. Software Engineer,"project planning,pdf,process monitoring,project implementation,quality planning,technical lead,manager technology,compliance,management,auditing",project planning pdf process monitoring project implementation quality planning technical lead manager technology compliance management audit,"['project manager', 'project management', 'project management', 'implementation', 'project management tool']"
 Senior Manager - Railway,"rail,railway,designing",rail railway design,['experiment design']
 Principal - Service Assurance,"telecom,troubleshooting,rfp,sms,lan,wan,cisco,mining,social media,ivr",telecom troubleshooting rfp sm lan wan cisco mining social medium ivr,"['social medium management', 'social medium influencer marketing', 'social medium manager', 'social medium analytic', 'datum mining']"
 MEP Revit Designer,"design,mep",design mep,"['experiment design', 'graphic design', 'design pattern', 'secure api design management']"
 Platform Architect,"system development,azure,unit testing,asp.net,architectural design,code review,solution design,.net framework",system development azure unit testing architectural design code review solution framework,"['code review', 'secure code review', 'architectural drafter', 'azure', 'secure development framework']"
 Immediate Requirement For PL SQL Developer at Hyderabad,"oracle data integrator,database migration,etl,awr",oracle data integrator database migration etl awr,"['migration strategy', 'cloud migration', 'datum migration strategy', 'cloud migration strategy', 'database sharding']"
 Team Leader Wealth Manager ,"equities,mutual funds,private equity,structured products",equity mutual fund private equity structured product,"['equity analyst', 'equity research analyst', 'equity trader', 'sql structured query language', 'structured reference formula']"
 Dy. Manager-customer Quality - @ Faridabad,"data analysis,customer quality,data mining,customer complaints",datum analysis customer quality datum mining customer complaint,"['datum mining', 'datum quality', 'datum correlation analysis', 'datum analysis', 'histogram datum analysis']"
 Design Engineers,"diploma,in design,working,software packages,solid works,engineering management,mechanical design,auto cad,function,pre",diploma design working software package solid work engineering management mechanical design auto cad function pre,"['experiment design', 'nest function', 'financial function', 'mechanical drafter', 'date time function']"
 Senior Manager - Client Servicing / Business Development,"client servicing,business development,sales executive,marketing executive",client servicing business development sale executive marketing executive,"['gamification marketing', 'emotional marketing', 'influencer marketing', 'storytelle marketing', 'omnichannel marketing']"
Tech Lead Java Developer,"software solutions,design analysis,customer support,object oriented design,core java,software development",software solution design analysis customer support object orient design core java software development,"['secure software development', 'object orient design ood', 'experiment design', 'software design pattern', 'object orient programming oop']"
 Executive Sales & Marketing,"marketing officer,sales engineering,marketing executive,sales officer,payments,business development executive,sales executive,communication skills",marketing officer sale engineering marketing executive sale officer payment business development executive sale executive communication skill,"['emotional marketing', 'influencer marketing', 'gamification marketing', 'podcast marketing', 'omnichannel marketing']"
" Front office supervisor, female",front office supervisor,office supervisor,[]
 Exp Candidates Required for International UK Tech Process,"process,issue,senior,technical,inbound calls,bonus,us shift,software,sales associate,technical support",process issue senior technical inbound call bonus shift software sale associate technical support,"['technical support engineer', 'retail sale associate', 'technical support specialist', 'technical writing', 'technical documentation']"
 Animation Officer ( Flash Animation) Malad Mumbai,flash animation,flash animation,['modeling animation']
 Proof Readers,"language skills,dtp,dtp operator,proof reading,grammar,english language,indesign,copy editor,proof reader,copy editing,proofer",language skill dtp dtp operator proof reading grammar english language indesign copy editor proof reader copy editing proofer,"['delegate proof stake dpo consensus', 'social proof fomo fear miss', 'metaquote language', 'zero knowledge proof']"
 Ai/ml Developer(conversation Intelligent)/5+ Years/engineering MNC,"python,opencv,machine learning",python opencv machine learning,"['opencv', 'automl automate machine learning', 'machine learning', 'shot learning', 'unsupervise learning']"
 Head Business Development,"aviation,industrial products",aviation industrial product,"['industrial engineer', 'industrial designer', 'industrial control system ics security', 'industrial robotic programming', 'big datum industrial iot']"
 e-Emphasys Applications Consultant,"erp,email,software,service,business intelligence,microsoft,material handling,quality,product management,mining,database,consulting,design,heavy equipment,crm,applications",erp email software service business intelligence microsoft material handling quality product management mining database consulting design heavy equipment crm application,"['crm software', 'business intelligence', 'datum mining', 'database management', 'database sharding']"
 Field Executive,"bpo,fabrication,tpa,process orientation,consulting,http,ites,refrigeration,financial services,foreign exchange",bpo fabrication tpa process orientation consulting http ite refrigeration financial service foreign exchange,"['http', 'information exchange', 'business card exchange']"
 Key Accounts Manager/delivery Manger - Recruitment (contract Staffing),"rpo,contract staffing,team handling,it recruitment,accounting,key accounts,negotiation skills,account management,strategic planning,client handling",rpo contract staffing team handling recruitment accounting key account negotiation skill account management strategic planning client handling,"['strategic planning', 'error handling debugging', 'account manager', 'negotiation', 'strategic alignment']"
 Assistant Manager HR,"pms,hrbp",pms hrbp,[]
" Walk-in Drive for Senior Oracle Apps DBA - Bangalore, Saturday 29 June","oracle dba,rac,apps dba,performance tuning,dba",oracle dba rac app dba performance tuning dba,"['web app development', 'secure mobile app development', 'mobile app marketing', 'automate testing mobile app', 'mobile app testing']"
 Liasoning architect,"architect,excel,c,corporate affairs,leasing,management,powerpoint,monitoring",architect excel c corporate affair leasing management powerpoint monitor,"['regular expression excel', 'excel', 'software architect', 'corporate attorney', 'database monitor']"
 Sales Principal,"business development,sales strategy,new client acquisition,client management,market assessment,sales",business development sale strategy new client acquisition client management market assessment sale,"['market client', 'risk assessment management', 'risk assessment', 'cybersecurity risk assessment', 'datum quality assessment']"
 technical recruiters,"bpo,mapping,ites,business solutions,dice,j2ee,case studies,portal,sdlc,informatica",bpo mapping ite business solution dice case study portal sdlc informatica,"['business process mapping', 'informatica', 'customer journey mapping', 'secure sdlc', 'fintech solution']"
 Business Excellence/project Management/design Role- Mobile App Startup,"design,pmo,project management,consulting,process excellence,business excellence",design pmo project management consulting process excellence business excellence,"['project management', 'project management']"
 We are Teacher Additional Learning Support,"teaching,hr,min,pdf",teaching hr min pdf,['min']
 Head ?? Production@ Chenai,"tamil,production,cipet,plastic injection moulding,six sigma",tamil production cipet plastic injection moulding sigma,['sql injection']
 Sales & Business Development Executive/ Manager,"sales manager,business development executive,business development manager,corporate sales,sales executive",sale manager business development executive business development manager corporate sale sale executive,"['sale manager', 'manager', 'software development manager', 'cryptocurrency development', 'project manager']"
 PHP Web Developer - Wordpress/magento Framework,"java,drupal,mysql,wordpress,magento,php,joomla",java drupal mysql wordpress magento php joomla,"['joomla', 'magento', 'drupal', 'wordpress', 'php']"
 Internship,"backend,web technologies,jquery,front end,debugging,schema,javascript,html,internship,android",backend web technology jquery end debugging schema javascript html internship android,"['snowflake schema', 'star schema', 'data schema design', 'big datum data schema evolution', 'backend development']"
 Automation Test Manager,"sdlc,agile,unit testing,soa testing,automation testing,quality management,automation tools,architecting,manager technology,jenkins",sdlc agile unit testing soa testing automation testing quality management automation tool architecte manager technology jenkin,"['unit testing test automation', 'b testing', 'hypothesis testing', 'integration testing system testing', 'automation']"
 Opening for HR Executive(payroll)-bangalore,"hr,payroll,onboarding",hr payroll onboarde,[]
Immediate Openings for Agency Manager at Gandhidham,"sales,agency development,hiring,training needs,agent recruitment,life insurance,development management",sale agency development hiring training need agent recruitment life insurance development management,"['insurance agent', 'center agent', 'cryptocurrency development', 'security training development', 'sport agent']"
 Sr. Sales Engineer - Assistant Manager/ Deputy Manager-direct Accounts,"sales engineering,customer relationship,computer skills,relationship management,educational qualification,presentation skills,business development,region,retention,crm,ms office",sale engineering customer relationship computer skill relationship management educational qualification presentation skill business development region retention crm ms office,"['customer relationship management crm', 'presentation skill', 'relationship management', 'customer retention analysis', 'customer retention strategy']"
 Financial Controller,"sap,us gaap,finance,financial control,manufacturing",sap gaap finance financial control manufacture,"['big datum manufacture quality control', 'manufacture engineer', 'manufacture technician', 'sap', 'decentralize finance defi']"
 Marketing/Business Development Executive/Business Development Manager.,"sales strategy,payment collection,min,time management,level,written communication,database,business development executive,mentoring,quality management",sale strategy payment collection min time management level write communication database business development executive mentoring quality management,"['write communication', 'min', 'time management', 'database management', 'datum collection ethic']"
 Program Manager - Cyber Security,"cyber security,information security,it security",cyber security information security security,"['blockchain security', 'security header', 'security information dissemination', 'information security management', 'datum security']"
 Front End Developer/Themer,"drupal,web designing,front end,cms,php,ideas,management consulting,photoshop,wordpress,grid",drupal web designing end cms php idea management consulting photoshop wordpress grid,"['drupal', 'wordpress', 'big datum smart grid', 'ai smart grid management', 'content management system cms']"
 Interview Running For Outbound UK Telecom Process,"outbound,telecom,comp,process,target,outbound process,spot,presentable,bonus,interviewing",outbound telecom comp process target outbound process spot presentable bonus interview,"['process', 'personalization target marketing', 'adobe target']"
 Exciting Opportunity - Nutrition Coach / Sr. Nutrition Coach,"nutrition,dietitian",nutrition dietitian,"['clinical dietitian', 'register dietitian']"
 General Accounting,"accounting entries,invoice processing,general accounting,invoicing,auditing",accounting entry invoice processing general accounting invoicing audit,"['serverless datum processing', 'datum lineage audit', 'database audit']"
 Senior Sales Executive/Team Leader,"sales,marketing executive,distributors,customer profiling,sales strategy,market research,business development,market,sales executive",sale marketing executive distributor customer profiling sale strategy market research business development market sale executive,"['market research', 'market customer', 'market millennial', 'market research analysis', 'market research tool']"
 Engineer - Non Catalogued,"technical support,vmware,debugging,virtualization,subject matter expert,emc storage,infrastructure services,process compliance,english language,effort estimation,c,technical,testing,service,application,ui,com,pl,support,infrastructure,it",technical support vmware debugging virtualization subject matter expert emc storage infrastructure service process compliance english language effort estimation c technical testing service application ui com pl support infrastructure,"['network virtualization technology vmware nsx', 'support', 'big datum infrastructure scaling', 'technical support engineer', 'big datum infrastructure management']"
 National Purchase Manager - Mumbai,"english,direct marketing,email,group sales,consulting,market research,market,product marketing,product support",english direct marketing email group sale consulting market research market product marketing product support,"['market research', 'market millennial', 'market research analysis', 'email marketing', 'market research tool']"
 Developer - Non Catalogued,"oracle fusion,manual testing,coding,com,development,c,oracle,technical,software,testing,programming,mentor,it,hcm,application,ui,developer,pl,support",oracle fusion manual testing code com development c oracle technical software testing programming mentor hcm application ui developer pl support,"['manual testing', 'oracle', 'hypothesis testing', 'b testing', 'integration testing system testing']"
 Walkins for senior executive / Junior Executive for Insurance,"insurance,mobile",insurance mobile,"['mobile marketing', 'mobile application security', 'secure mobile app development', 'mobile app marketing', 'mobile app testing']"
 Java/j2ee- - Architect,"java,j2ee,jdbc,multithreading,data structures,oops",java jdbc multithreading datum structure oop,"['datum structure', 'java', 'datum masking tokenization', 'datum sharding', 'datum stewardship']"
 Valuations & Financial Modeling - Senior Analyst,"economics,financial statements,usage,bloomberg,senior analyst,social media,trend analysis,cash flow,financial modelling,cfa",economic financial statement usage bloomberg senior analyst social medium trend analysis cash flow financial modelling cfa,"['cash flow analysis', 'financial analyst', 'trend analysis', 'financial datum analysis', 'datum trend analysis']"
" Branch Manager, Financial Product Sales - Leading Securities Company","branch head,relationship manager,senior sales manager,insurance sales,financial sales,mutual funds sales,branch manager,centre head,sales manager,branch sales manager",branch head relationship manager senior sale manager insurance sale financial sale mutual fund sale branch manager centre head sale manager branch sale manager,"['sale manager', 'manager', 'financial manager', 'project manager', 'product manager']"
Mule Enterprise Service Bus (esb),"analytical skills,application integration,automation,agile,outsourcing,middleware,operations,technical support,testing",analytical skill application integration automation agile outsourcing middleware operation technical support test,"['datum integration', 'automation', 'devsecop automation', 'unit testing test automation', 'decentralize application dapps']"
 Java Architect,"hibernate,spring mvc,soa,design patterns,data structures,orm,core java,multithreading,java architecture,jpa,j2ee architecture,web services",hibernate spring mvc soa design pattern datum structure orm core java multithreade java architecture jpa architecture web service,"['datum architecture', 'dmz demilitarize zone architecture', 'serverless architecture', 'service orient architecture soa', 'big datum architecture design']"
 Talent Acquisition,"erp,mis,reports,talent management,human resources,hr policies,recruitment,talent acquisition",erp mis report talent management human resource hr policy recruitment talent acquisition,"['talent management', 'human resource management', 'human resource manager', 'human resource coordinator', 'datum report']"
 Channel Operation Specialist,"bpo,customer support,crm,process automation,conflict resolution,healthcare,ms office,operations,analytics,financial services",bpo customer support crm process automation conflict resolution healthcare ms office operation analytic financial service,"['conflict resolution', 'conflict management', 'healthcare analytic', 'financial analytic', 'healthcare datum analytic']"
 Technical Consultant- ESM,"telecom,ccna,mcse,consulting,microsoft,monitoring,sow,network planning,m&a",telecom ccna mcse consulting microsoft monitoring sow network planning,"['network monitoring', 'network monitoring tool', 'network', 'network harden', 'bayesian network']"
 LIMS / eLab - Pharma MNC - Mumbai (12pm -9pm),"lims,document management system",lim document management system,"['recommender system', 'database management system sql', 'system analysis', 'system administration', 'control system']"
 Inbound Tech Support,"bpo,outbound,technical support,english,group,process,technical,desktop support,night shift",bpo outbound technical support english group process technical desktop support night shift,"['support', 'group outline', 'technical support engineer', 'datum subtotale group', 'business networking group']"
 Group Manager - HR Business Partner,"hr strategy,employee engagement,talent management,hrbp,human resource management,succession planning,training,business partnering,attrition management,learning",hr strategy employee engagement talent management hrbp human resource management succession planning training business partnering attrition management learn,"['human resource management', 'federate learn', 'scikit learn', 'scikit learn', 'talent management']"
 Hub Manager- AMD,"service quality,courier,lean management,people management,leadership skills,operations improvement,support services",service quality courier lean management people management leadership skill operation improvement support service,"['think leadership', 'data quality improvement', 'influencer management', 'leadership network', 'quality service qos management']"
 Administration Executive,"bpo,ites,kpo,billing,customer service operations,administration executive,general administrator,associate,house,administration",bpo ite kpo billing customer service operation administration executive general administrator associate house administration,"['system administration', 'database administration', 'database administrator', 'healthcare administrator', 'hospital administrator']"
 Sr . Software Engineer / System Analyst,"cms,html,javascript,data migration,sitecore,software,workflow,system analyst,asp.net mvc,linux,client interaction,architecting,support,email",cms html javascript datum migration sitecore software workflow system analyst mvc linux client interaction architecting support email,"['datum migration strategy', 'datum analysis workflow', 'content management system cms', 'big datum datum migration strategy', 'migration strategy']"
 Business Development Sr.Executive,"computer science,business development executive,sales executive",computer science business development executive sale executive,"['datum science podcast', 'executive reporting', 'executive assistant', 'data science ethic', 'cryptocurrency development']"
 Senior Sales Manager,"retail,space selling,senior,sales manager,real estate,business executive",retail space selling senior sale manager real estate business executive,"['big datum space exploration', 'sale manager', 'retail sale associate', 'manager', 'real time system']"
 Tech Support Executive,"outbound,technical support,comp,target,process,inbound calls,domestic bpo,us shift,international bpo",outbound technical support comp target process inbound call domestic bpo shift international bpo,"['personalization target marketing', 'adobe target', 'support']"
 Area Manager (pharma Field Sales),"sales,business development management,pharma selling,communication skills,ddos,ddo",sale business development management pharma selling communication skill ddo ddo,['communication skill']
 HR Generalist Role,hr generalist,hr generalist,[]
 Lead Administrator Storage Infrastructure,"solution architecture,english language,customer management,customer satisfaction,trend analysis,effort estimation,service,emc",solution architecture english language customer management customer satisfaction trend analysis effort estimation service emc,"['customer satisfaction analysis', 'trend analysis', 'datum trend analysis', 'market trend analysis', 'security incident trend analysis']"
 Senior Store Manager,"shrinkage,store management,inventory management,retail sales,marketing strategy,fmcg sales,food",shrinkage store management inventory management retail sale marketing strategy fmcg sale food,"['inventory management', 'datum analysis inventory management', 'retail sale associate', 'marketing strategy development', 'inventory analysis']"
 Vacancy in Night Shift For Telecaller in BPO in North Kolkata,"bpo,technical support,outbound,night shift,troubleshooting,recruitment,email,english,antivirus,comp",bpo technical support outbound night shift troubleshooting recruitment email english antivirus comp,"['email marketing', 'support', 'technical support engineer', 'email security spf']"
 Tech Sales/Support-US Shift,"outbound,troubleshooting,technical support,english,domestic bpo,antivirus,sales support,recruitment,comp",outbound troubleshooting technical support english domestic bpo antivirus sale support recruitment comp,"['support', 'technical support engineer', 'customer support', 'training support', 'technical support specialist']"
 Accountant,"email,finance,transactions,consultancy,phone,browsing,senior executive",email finance transaction consultancy phone browsing senior executive,"['decentralize finance defi', 'email marketing']"
 Company Communication Assistant,"media relations,photoshop,media planning,chemical,illustrator,adobe creative suite,ms office,technical support,petrochemical,recruitment",medium relation photoshop medium planning chemical illustrator adobe creative suite ms office technical support petrochemical recruitment,"['medium relation', 'technical illustrator', 'social medium management', 'adobe xd', 'creative campaign planning']"
Senior Analyst - .NET Developer (with C# & Angular JS),"javascript,microsoft azure,web development,.net,c#,c#.net,web technologies,program management,automation testing,asp.net,wcf,html,sql,angular js,jquery,ado.net,node js",javascript microsoft azure web web technology program management automation testing wcf html sql angular js jquery node js,"['microsoft azure', 'angular', 'angular', 'web scrape', 'web development html']"
 Data Entry Operator / Mumbai / SDP & Associates,"data entry operation,clerical,back office,data entry,computer operator,database,operations,fresher,data entry operator,typing,stenographer",datum entry operation clerical office datum entry computer operator database operation fresher datum entry operator type stenographer,"['dataop datum operation', 'datum entry validation', 'datum entry edit', 'datum masking tokenization', 'datum imputation']"
 Urgent Hiring for Webchat Process in PUNE,"international bpo,voice process,international call center,chat process,web chat,live chat",international bpo voice process international center chat process web chat live chat,['process']
 Hiring QA (manual & Automation) Engineers || Appitsimple Infotek,"qa,manual test engineer,automation,manual tester,software testing,test engineer,qa testing,automation testing,manual testing,qa automation,qa engineer,qa analyst",qa manual test engineer automation manual tester software testing test engineer qa testing automation testing manual testing qa automation qa engineer qa analyst,"['manual testing', 'unit testing test automation', 'b testing', 'hypothesis testing', 'nuclear engineer']"
 Sales Engineer,"relationships,industrial,sales engineer,major,key accounts,engineering,travel,region,power electronics,sales",relationship industrial sale engineer major key account engineering travel region power electronic sale,"['industrial engineer', 'nuclear engineer', 'industrial designer', 'power query transform', 'power pivot datum modeling relationship']"
 Senior Manager Corporate Planning,"corporate planning,consulting,strategy management,research",corporate planning consulting strategy management research,"['corporate attorney', 'datum ingestion strategy', 'marketing strategy development', 'networking strategy', 'datum strategy development']"
 S/4 HANA SD Consultant @ Bangalore,"pricing,material master,enterprise structure,sap sd,sapsd,hana",pricing material master enterprise structure sap sd sapsd hana,"['product pricing analysis', 'secure sd wan design management', 'sap', 'datum structure']"
 Office Assistant / Back Office Executive,"back office,back office executive",office office executive,[]
 Opportunities to work with Aegis in Bangalore,"telugu,hindi,communication skills,customer support",telugu hindi communication skill customer support,"['communication skill', 'customer support', 'communication', 'support']"
 Marketing Officer,"market research,customer profiling,sales executive,marketing executive,distributors,business development,sales strategy,erp,sap,ms office",market research customer profiling sale executive marketing executive distributor business development sale strategy erp sap ms office,"['marketing strategy development', 'market research', 'market customer', 'market research analysis', 'market research tool']"
 Sales Manager / Asstt. Sales Manager,industrial sales,industrial sale,"['industrial engineer', 'industrial designer', 'industrial control system ics security', 'industrial robotic programming', 'big datum industrial iot']"
" Required Candidate For Interior Designer Minimum 6 Month Exp,pune","modular kitchen,sales coordinator,sales support",modular kitchen sale coordinator sale support,"['marketing coordinator', 'event coordinator', 'social medium coordinator', 'human resource coordinator', 'clinical research coordinator']"
 Oracle EBS Finance Functional- Lead,"payroll,production support,oracle financials,bpo,r12,offshore,staffing,analytical,financial analyst,oracle e-business suite",payroll production support oracle financial bpo staffing analytical financial analyst oracle e business suite,"['financial analyst', 'oracle', 'financial manager', 'financial analytic', 'business analyst']"
 Software Engineer,"computer science,dom,coding,tdd,jsp,javascript,html,application development,test driven development,ajax",computer science dom code tdd jsp javascript html application development test drive development ajax,"['testing test drive development tdd', 'tdd', 'cryptocurrency development', 'web development html', 'code refactoring']"
 Recruitment Executive,"recruitment,volume hiring,sourcing,written communication,communication skills,hr recruiter,bulk hiring,mass recruitment,staffing,talent acquisition,resourcing,hiring",recruitment volume hiring source write communication communication skill hr recruiter bulk hiring mass recruitment staffing talent acquisition resource hire,"['write communication', 'communication skill', 'communication', 'recruiter', 'recruitment analysis']"
 Looking For Software Developer(big Data) Big Data Platform in Gurgaon,"c#,java,software development,docker,hadoop,big data,python",software development docker hadoop big datum python,"['containerization big datum docker', 'big datum technology hadoop', 'big datum', 'big datum cosmology', 'big datum astronomy']"
 Technician,servicing,servicing,[]
 Urgent Requirement For Exchange Office 365 Admin,"cloud,office 365",cloud office,"['oracle cloud', 'cloud automation', 'secure cloud networking', 'cloud networking', 'cloud monitoring']"
 MVC DEVELOPER,"xml,ajax,wcf,uml,debugging,visual studio,database design,unit testing,entity framework,it management",xml ajax wcf uml debugging visual studio database design unit testing entity framework management,"['database management', 'truffle framework', 'unit testing test automation', 'visual storytelling marketing', 'database sharding']"
 consultant ui developer,"front end,git,coding,javascript,cms,software development life cycle,adobe,information technology,usability testing,css3",end git code javascript cms software development life cycle adobe information technology usability testing,"['secure software development life cycle ssdlc', 'usability testing', 'secure sdlc software development life cycle', 'adobe xd', 'git']"
 Software Engineer,"linux,developer,php,drupal,java,eclipse,postgresql,mysql,apache,business executive,python",linux developer php drupal java eclipse postgresql mysql apache business executive python,"['postgresql', 'drupal', 'apache nifi', 'apache flink', 'apache superset']"
 Android/flutter Mobile Developer,"application architecture,startup,android",application architecture startup android,"['serverless architecture', 'dmz demilitarize zone architecture', 'android development', 'decentralize application dapps', 'datum architecture']"
 Weekend Drive for Hardware Engineer,"emi,hardware design,power supply,hardware engineering,hardware development,life cycle,gap analysis",emi hardware design power supply hardware engineering hardware development life cycle gap analysis,"['vhf vhsic hardware description language', 'network hardware maintenance', 'network hardware procurement', 'verilog hardware description language', 'vhdl hardware description language']"
 Graphic Designer,"illustrator,layout,social media,collaterals,corel draw,workflow,html,branding,ideas,typography",illustrator layout social medium collateral corel draw workflow html branding idea typography,"['social medium management', 'social medium influencer marketing', 'social medium manager', 'illustrator', 'social medium analytic']"
 Embedded Firmware Engineer - (Max 30 days Joinee),"device driver development,firmware development,arm",device driver development firmware development arm,"['cryptocurrency development', 'network device harden', 'mobile device security', 'network device configuration management', 'mobile device security policy']"
 Associate Analyst- Data and Opex,"excel powerpoint,data manipulation,advanced analytics,data visualization,spark,tableau,machine learning,statistics,sql,python",excel powerpoint data manipulation advanced analytic datum visualization spark tableau machine learning statistic sql python,"['datum manipulation r dplyr', 'datum visualization tool tableau', 'datum visualization python matplotlib', 'marketing analytic datum visualization', 'big datum visualization tool tableau']"
 Opportunity for an Architect/senior Architect,"architect,java,spring",architect java spring,"['software architect', 'java', 'landscape architect']"
 Sales Promoter - Apple Store,"retail sales,cross selling,negotiation skills,up selling,store,customer service,sales,retail,counter sales,iphone,electronics,laptop,sales consultant,sales executive,counter sales executive",retail sale cross selling negotiation skill selling store customer service sale retail counter sale iphone electronic laptop sale consultant sale executive counter sale executive,"['retail sale associate', 'sale manager', 'sale analysis', 'sale funnel optimization', 'sale forecasting']"
 Quality Analyst - BPO,"team training,quality analysis,quality analyst,bpo,kpo",team training quality analysis quality analyst bpo kpo,"['datum quality', 'datum analysis quality control', 'quality control', 'quality assurance', 'datum quality assurance']"
 Incident/problem Management Lead - PPM & CPM,"problem management,incident management,itil,it service delivery",problem management incident management itil service delivery,"['security incident management training', 'security incident response team sirt incident recovery incident playbook', 'network security incident management', 'security incident response team sirt incident management tool', 'security incident management workflow']"
" Fellow , Surgical Gastroenterology & Liver Transplantation","gastroenterology,surgical,monitoring,ram,dnb,dmc",gastroenterology surgical monitoring ram dnb dmc,[]
 Process Engineer (Oil & gas),computer,computer,"['computer system analyst', 'computer technician', 'computer programmer', 'computer vision', 'computer vision library']"
 Customer Support Associate,"customer service,outbound,technical support,antivirus,comp,customer support associate,inbound voice process,sales,us shift",customer service outbound technical support antivirus comp customer support associate inbound voice process sale shift,"['customer support', 'support', 'technical support engineer', 'customer support specialist', 'customer persona development']"
 Accounts Manager --- Export Import Industry --- Males,"accounts manager,sr.accountant,accountant",account manager accountant,"['account manager', 'tax accountant', 'public accountant', 'manager', 'sale manager']"
 Hiring For Recruitment Consultant(hr)- Gurgaon( Contractual job),"talent acquisition,screening,it recruitment,recruitment,stakeholder management,it recruiter,client management,hr,sourcing",talent acquisition screen recruitment recruitment stakeholder management recruiter client management hr source,"['stakeholder management', 'talent management', 'recruiter', 'recruitment analysis', 'stakeholder management big datum project']"
 Immediate Required Sr.tech Support Executive For Inbound,"technical support,outbound,service,comp,senior technical support executive,inbound calls,process,target,bonus,business executive",technical support outbound service comp senior technical support executive inbound call process target bonus business executive,"['support', 'technical support engineer', 'technical support specialist', 'personalization target marketing', 'customer support']"
 Professor,"counselor,teaching,mentor,trainer,advisor",counselor teaching mentor trainer advisor,"['financial advisor', 'corporate trainer', 'investment advisor', 'school counselor', 'personal trainer']"
 Test Engineer,"test engineering,manual testing,mobile testing,mobile application testing,functional testing,system testing,regression testing,web testing,ios application testing",test engineering manual testing mobile testing mobile application testing functional testing system testing regression testing web testing io application testing,"['hypothesis testing', 'b testing', 'functional testing regression testing', 'integration testing system testing', 'b testing analysis']"
 Java Developer,"spring,hibernate,java",spring hibernate java,['java']
 Hiring For Diagnostics Software(platform OR Device Driver OR Firmware),"ds3,l2,l3,device drivers,sonet,platform,linux os,i2c,firmware,otn,asics,e1,spi,diagnostics,device driver,sdh,c programming,pcie,t1",driver sonet platform linux os firmware otn asic diagnostic device driver sdh c programming pcie,"['experimentation platform', 'marketing automation platform', 'e commerce platform', 'email marketing platform', 'business intelligence platform']"
AM / DM Sales,"product costing,customer relationship,sales budgeting,finance,relationship management,oem sales,commercial sales,manufacturing,new business acquisition,marketing",product costing customer relationship sale budgeting finance relationship management oem sale commercial sale manufacturing new business acquisition marketing,"['relationship management', 'customer relationship management crm', 'customer relationship tool', 'relationship building', 'relationship maintenance']"
 IT Operations Executive,"service level,service request management,service desk,team leading,maintenance,incident management,it operations,active directory,it infrastructure,delivery management",service level service request management service desk team lead maintenance incident management operation active directory infrastructure delivery management,"['active directory', 'influencer management', 'security incident response team sirt incident management tool', 'cross site request forgery csrf', 'security incident response team sirt incident recovery incident playbook']"
 Urgent Requirement-- Sales Manager [GI] for Kolkata Location,"sales management,agency channel,general insurance,life insurance,health insurance",sale management agency channel general insurance life insurance health insurance,"['cyber insurance management', 'insurance agent', 'insurance underwriter']"
